#id RA DEC X Y F115W F115W_err F150W F150W_err F200W F200W_err F277W F277W_err F356W F356W_err F410M F410M_err F444W F444W_err
109 215.0408567 52.9920052 8885.2803 4180.8955 22.5411 0.0042 21.9256 0.0023 21.6319 0.0014 19.7473 0.0005 19.5255 0.0004 19.4834 0.0006 19.5864 0.0005
110 215.0301285 52.9837576 7664.6411 4227.9092 0.0 0.0 27.8365 0.1473 26.8909 0.0701 26.0595 0.046 25.8223 0.0385 27.656 0.1656 27.5221 0.1148
111 215.0433918 52.9932734 9113.1494 4221.0605 27.4023 0.0584 27.1578 0.0543 26.6369 0.042 25.2212 0.0196 25.1631 0.017 25.3233 0.0293 25.5148 0.0272
112 214.9807415 52.9488276 2314.5857 4211.8398 25.7344 0.0256 25.3305 0.0191 25.1049 0.0172 24.0883 0.0099 24.046 0.0085 24.2689 0.0171 24.1872 0.0183
113 214.9831753 52.9519445 2702.5237 4107.6694 21.0747 0.0012 20.482 0.0007 19.9328 0.0004 18.289 0.0002 18.074 0.0002 18.1502 0.0002 18.3126 0.0002
114 214.9856033 52.9522657 2841.2922 4213.7158 25.8392 0.0183 25.2635 0.0115 24.9717 0.0093 23.8361 0.0053 23.8409 0.0049 23.8069 0.0089 23.7179 0.0119
115 214.9773538 52.9462516 1931.5037 4224.0806 26.3991 0.0237 26.7022 0.0308 26.8386 0.0351 25.7271 0.0198 25.7273 0.0186 25.77 0.0383 26.1537 0.0753
116 214.9703407 52.9412631 1169.0865 4223.397 0.0 0.0 0.0 0.0 0.0 0.0 28.4402 0.1119 28.7455 0.1431 27.0489 0.0778 27.0908 0.0936
117 214.9889363 52.954526 3193.7559 4222.2568 0.0 0.0 27.9215 0.1074 27.8243 0.1182 27.0058 0.0607 27.2119 0.0533 0.0 0.0 27.3663 0.0861
118 214.980362 52.9485523 2272.8533 4212.209 25.3369 0.0564 26.8964 0.0443 26.7125 0.031 24.4999 0.0159 24.9205 0.0166 25.6145 0.0343 25.3218 0.0624
119 215.045328 52.9952758 9379.1562 4173.7905 22.9823 0.0043 22.323 0.0024 21.7825 0.0013 19.9192 0.0006 19.6911 0.0005 19.9068 0.0006 19.9868 0.0006
120 214.9825849 52.9500455 2506.6624 4219.0117 26.8739 0.0554 26.644 0.0381 26.2793 0.0323 25.6934 0.0271 26.148 0.044 25.6124 0.0469 26.3168 0.0671
121 214.9967682 52.9600533 4041.1892 4225.9404 0.0 0.0 29.153 0.1229 28.0791 0.1103 28.0626 0.139 26.9577 0.092 26.9076 0.1425 26.9 0.0914
122 214.9644118 52.9366888 492.7227 4249.6064 0.0 0.0 26.7222 0.0743 28.0609 0.2272 25.9064 0.054 25.8274 0.0606 25.5545 0.0591 26.524 0.0959
123 215.0425708 52.9930231 9053.6279 4195.9541 25.1919 0.0214 24.5182 0.0159 24.5497 0.0126 23.0226 0.0051 22.98 0.0049 23.104 0.0087 23.2402 0.0078
124 215.0243414 52.9797741 7047.5718 4218.0728 26.8988 0.0725 26.7167 0.0651 0.0 0.0 26.568 0.1007 26.6201 0.106 0.0 0.0 27.6507 0.1395
125 215.0247566 52.9811145 7185.686 4139.3101 18.5452 1.0519 18.3533 0.0044 18.5076 0.0024 0.0 0.0 17.3147 0.0004 17.7842 0.0003 18.6435 0.0011
126 214.9913684 52.9563595 3467.3401 4214.6016 28.4794 0.1491 28.1404 0.0751 27.8128 0.0703 26.7017 0.0412 26.9113 0.0447 27.2599 0.0735 27.6644 0.1178
127 214.9897796 52.9553213 3302.8276 4207.583 26.8443 0.042 26.123 0.021 25.8395 0.0166 24.6729 0.0095 24.7844 0.0092 24.9333 0.0184 24.8758 0.0163
128 215.0420402 52.9922082 8957.0488 4228.9766 28.4561 0.096 28.7931 0.1006 27.8107 0.0528 26.1708 0.0561 26.4864 0.0585 26.2735 0.0871 26.6649 0.0496
129 215.0178338 52.9740734 6244.9512 4298.9468 0.0 0.0 0.0 0.0 0.0 0.0 26.8091 0.063 27.8411 0.1428 27.5056 0.0946 27.5793 0.1565
130 215.0182516 52.974563 6307.4897 4284.4365 25.4933 0.0212 25.3768 0.0184 25.1155 0.0147 23.737 0.0061 23.692 0.0064 23.9063 0.0118 23.9482 0.0109
131 214.9928453 52.9572973 3617.8418 4223.1685 0.0 0.0 0.0 0.0 0.0 0.0 27.9745 0.1412 28.3109 0.1475 26.93 0.0771 27.126 0.0725
132 215.03559 52.987885 8279.7119 4209.3838 27.8979 0.1074 28.365 0.0921 27.8298 0.0611 25.3632 0.0279 25.7344 0.0252 25.2272 0.0476 26.3713 0.0876
133 215.0385668 52.9890666 8519.9209 4279.7681 0.0 0.0 0.0 0.0 28.5183 0.1284 26.2915 0.0527 26.6569 0.0644 0.0 0.0 26.4301 0.0912
134 215.0346405 52.9872495 8180.0806 4206.4277 27.0692 0.0613 26.2073 0.0307 26.1548 0.0256 24.6454 0.0181 24.591 0.0169 24.8605 0.0339 24.7288 0.0252
135 215.0244218 52.9799166 7063.8994 4211.6392 27.2853 0.0916 0.0 0.0 25.0904 0.0263 28.1763 0.217 0.0 0.0 0.0 0.0 27.322 0.1325
136 215.0483672 52.9959561 9577.585 4285.2432 27.1439 0.055 26.5356 0.0342 26.6216 0.0295 25.1925 0.0189 24.8855 0.0187 24.9975 0.0356 25.1185 0.028
